#{"t_start": 1740679402.3794188, "env_id": "Pong-v4"}
r,l,t
-21.0,254,827.130184
-19.0,328,829.78677
-20.0,310,832.292594
-19.0,298,834.624882
-20.0,376,837.688326
-20.0,353,840.545207
-21.0,266,842.744556
-21.0,289,845.069584
-21.0,272,847.407756
-19.0,317,849.944686
-21.0,306,852.592062
-18.0,399,856.005544
-20.0,306,858.462477
-21.0,273,860.661806
-19.0,334,863.385341
-21.0,286,865.698965
-21.0,297,868.164097
-21.0,269,870.373569
-21.0,294,873.355242
-21.0,289,876.052237
-20.0,332,878.770622
-19.0,328,881.452275
-20.0,293,884.044232
-21.0,363,886.919045
-20.0,293,889.329636
-21.0,267,891.453336
-20.0,314,894.073056
-19.0,339,896.809717
-21.0,284,899.362959
-21.0,287,901.738465
-20.0,327,904.415601
-21.0,256,906.5955
-21.0,265,908.790357
-21.0,293,911.294079
-20.0,305,913.808597
-21.0,260,915.876353
-20.0,326,918.497562
-21.0,261,920.949946
-21.0,268,923.349825
-19.0,318,925.914147
-21.0,291,928.261133
-21.0,269,930.462844
-20.0,295,932.804307
-21.0,273,935.073964
-21.0,261,937.131094
-20.0,290,939.557207
-21.0,300,941.930935
-20.0,333,944.810785
-21.0,328,947.407268
-21.0,270,949.619418
-19.0,379,952.755094
-21.0,288,955.198616
-19.0,364,958.260846
-20.0,293,960.754625
-19.0,318,963.347214
-20.0,287,965.831212
-21.0,261,968.017546
-21.0,263,970.504925
-20.0,362,973.471869
-20.0,296,975.913003
-21.0,275,978.079982
-21.0,313,980.551342
-21.0,294,982.959104
-21.0,319,985.541728
-21.0,276,987.808089
-21.0,292,990.079023
-21.0,252,992.294599
-20.0,286,994.59669
-19.0,336,997.46546
-20.0,398,1000.683825
-21.0,256,1002.839107
-21.0,286,1005.195972
-20.0,272,1007.538769
-20.0,318,1010.060038
-19.0,329,1012.790486
-21.0,302,1015.197365
-20.0,315,1017.779816
-20.0,307,1020.24445
-19.0,302,1022.704543
-19.0,323,1025.241083
-19.0,338,1028.007576
-21.0,320,1030.558401
-21.0,246,1032.541455
-21.0,315,1035.084783
-19.0,324,1037.710409
-19.0,316,1040.272005
-21.0,269,1042.622859
-21.0,287,1044.986762
-20.0,301,1047.472918
-20.0,363,1050.516045
-21.0,297,1053.171974
-20.0,295,1055.63211
-20.0,294,1057.993908
-21.0,292,1060.388039
-21.0,256,1062.430243
-21.0,260,1064.604851
-18.0,369,1067.568918
-21.0,270,1069.822771
-21.0,247,1071.812508
-20.0,274,1073.980467
-21.0,257,1076.085112
-21.0,261,1078.14758
-20.0,269,1080.397933
-21.0,327,1083.00069
-21.0,300,1085.419973
-21.0,273,1087.631504
-21.0,277,1089.925487
-20.0,328,1092.641345
-21.0,273,1094.975416
-19.0,373,1097.996761
-20.0,310,1100.61914
-21.0,269,1102.76597
-21.0,259,1104.923697
-21.0,271,1107.222188
-20.0,291,1109.526314
-21.0,269,1111.753193
-21.0,310,1114.223021
-21.0,254,1116.373024
-21.0,283,1118.808195
-21.0,256,1120.863139
-20.0,297,1123.369012
-21.0,247,1125.378743
-21.0,265,1127.791074
-21.0,281,1130.06892
-21.0,287,1132.454879
-21.0,256,1134.468448
-21.0,271,1136.665088
-20.0,310,1139.143459
-20.0,297,1141.532547
-21.0,264,1143.685308
-21.0,274,1146.013599
-21.0,295,1148.505873
-21.0,279,1150.880792
-21.0,256,1153.284065
-20.0,286,1155.685672
-21.0,282,1157.99701
-21.0,275,1160.308831
-20.0,319,1162.953809
-21.0,294,1165.55487
-21.0,308,1168.030762
-21.0,252,1170.155768
-20.0,294,1172.511688
-20.0,304,1175.194022
-20.0,289,1177.57308
-21.0,280,1179.944693
-21.0,299,1182.423165
-21.0,259,1184.704235
-21.0,348,1187.538557
-20.0,377,1190.616731
-21.0,279,1192.829329
-20.0,304,1195.333217
-21.0,319,1197.876703
-21.0,262,1200.108011
-21.0,299,1202.617411
-21.0,259,1204.713323
-21.0,254,1206.834051
-20.0,338,1209.530869
-20.0,315,1212.118117
-20.0,279,1214.468614
-20.0,341,1217.277325
-21.0,303,1219.940498
-18.0,421,1223.423426
-20.0,310,1226.018423
-20.0,316,1228.731667
-20.0,273,1231.093655
-21.0,252,1233.131826
-21.0,303,1235.558584
-20.0,289,1238.07687
-21.0,349,1240.947479
-20.0,332,1243.705245
-19.0,319,1246.379483
-21.0,253,1248.473476
-21.0,290,1250.932306
-21.0,265,1253.168573
-21.0,268,1255.342167
-19.0,339,1258.166062
-20.0,299,1260.538337
-21.0,278,1262.852945
-20.0,320,1265.434327
-20.0,340,1268.283855
-21.0,373,1271.259129
-20.0,343,1274.067868
-20.0,269,1276.218105
-19.0,330,1278.932496
-20.0,298,1281.309083
-21.0,318,1283.909085
-21.0,304,1286.458431
-21.0,287,1288.841058
-21.0,261,1290.943117
-21.0,269,1293.088623
-21.0,272,1295.320176
-21.0,305,1297.765485
-21.0,285,1300.155851
-21.0,349,1302.95724
-21.0,292,1305.443902
-20.0,276,1307.740589
-21.0,260,1309.971761
-20.0,346,1312.779992
-21.0,269,1315.090973
-19.0,375,1318.246364
-21.0,298,1320.963178
-21.0,270,1323.150019
-21.0,315,1325.80164
-20.0,321,1328.362699
-21.0,253,1330.465626
-21.0,308,1332.975472
-20.0,301,1335.718765
-21.0,321,1338.385644
-21.0,297,1340.863254
-20.0,292,1343.221827
-21.0,321,1345.886657
-20.0,297,1348.287408
-20.0,287,1350.667994
-21.0,281,1352.993636
-21.0,267,1355.114571
-21.0,266,1357.34196
-21.0,264,1359.461077
-21.0,250,1361.540578
-21.0,250,1363.580728
-20.0,275,1365.810216
-21.0,309,1368.346897
-20.0,362,1371.241677
-20.0,341,1374.004255
-21.0,250,1375.997427
-20.0,341,1378.807293
-21.0,255,1380.851249
-21.0,256,1382.955338
-21.0,259,1385.007904
-20.0,293,1387.417437
-21.0,285,1389.766038
-21.0,306,1392.274055
-21.0,262,1394.37659
-19.0,344,1397.163861
-21.0,275,1399.413745
-19.0,363,1402.274782
-20.0,299,1404.804077
-20.0,294,1407.154428
-21.0,277,1409.460834
-21.0,292,1411.918546
-21.0,310,1414.577639
-21.0,269,1416.830397
-20.0,321,1419.64366
-19.0,323,1422.298602
-20.0,388,1425.658662
-20.0,313,1428.166428
-21.0,281,1430.534937
-21.0,245,1432.524992
-21.0,263,1434.731002
-20.0,320,1437.283798
-21.0,268,1439.495469
-21.0,256,1441.566367
-21.0,258,1443.631678
-21.0,271,1445.885473
-20.0,303,1448.324115
-21.0,276,1450.631212
-21.0,266,1452.878757
-20.0,296,1455.461432
-21.0,296,1457.920801
-21.0,299,1460.434283
-21.0,248,1462.480434
-20.0,303,1465.066996
-20.0,317,1467.774039
-21.0,261,1469.840818
-20.0,305,1472.373621
-21.0,251,1474.362488
-21.0,274,1476.671574
-19.0,321,1479.278141
-20.0,316,1481.901014
-21.0,338,1484.624151
-20.0,270,1486.881804
-21.0,285,1489.204813
-20.0,275,1491.467422
-21.0,291,1493.786849
-20.0,332,1496.516151
-21.0,317,1499.121631
-21.0,270,1501.424562
-21.0,279,1503.727689
-21.0,312,1506.316836
-20.0,275,1508.589351
-21.0,292,1510.985297
-20.0,325,1513.782637
-21.0,326,1516.646001
-20.0,325,1519.674422
-21.0,333,1522.45877
-20.0,312,1525.065783
-21.0,288,1527.573435
-21.0,252,1529.763039
-20.0,279,1532.004865
-21.0,248,1534.056921
-21.0,307,1536.591057
-21.0,297,1539.042792
-20.0,345,1541.886732
-21.0,259,1543.965583
-20.0,296,1546.44306
-21.0,293,1548.834467
-19.0,361,1551.936939
-21.0,297,1554.354985
-21.0,288,1556.931042
-21.0,295,1559.303575
-21.0,303,1561.806756
-20.0,312,1564.318976
-21.0,295,1566.789921
-20.0,275,1568.994036
-21.0,302,1571.509768
-20.0,356,1574.361207
-21.0,364,1577.342598
-21.0,282,1579.586133
-21.0,372,1582.732665
-19.0,317,1585.313896
-20.0,316,1587.94991
-20.0,300,1590.372374
-21.0,302,1592.8802
-20.0,345,1595.683792
-20.0,294,1598.11617
-20.0,299,1600.513086
-21.0,261,1602.697863
-21.0,260,1604.833416
-19.0,339,1607.617826
-21.0,288,1609.948645
-21.0,298,1612.407782
-19.0,317,1614.972262
-20.0,306,1617.515502
-20.0,301,1619.939814
-20.0,283,1622.232148
-21.0,261,1624.405633
-21.0,327,1627.044632
-20.0,308,1629.589567
-21.0,316,1632.119326
-21.0,297,1634.605151
-21.0,274,1636.827163
-21.0,260,1638.997481
-19.0,349,1641.792697
-20.0,288,1644.166638
-21.0,279,1646.412308
-20.0,328,1649.082078
-20.0,310,1651.571529
-20.0,284,1653.935677
-21.0,344,1656.682782
-21.0,287,1659.051553
-21.0,311,1661.558304
-19.0,308,1664.072943
-19.0,319,1666.645208
-20.0,351,1669.636603
-21.0,255,1671.696697
-21.0,310,1674.19641
-21.0,289,1676.615369
-21.0,303,1679.059893
-21.0,275,1681.36256
-19.0,318,1683.899698
-21.0,275,1686.222896
-21.0,269,1688.367124
-20.0,318,1691.018397
-19.0,351,1693.879585
-21.0,276,1696.136307
-20.0,291,1698.463677
-21.0,309,1701.309416
-21.0,286,1703.721397
